<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210225,210000,172.6000000
MOEX,60,20210225,220000,172.5600000
MOEX,60,20210225,230000,172.8900000
MOEX,60,20210226,000000,172.6000000
MOEX,60,20210226,110000,172.6600000
MOEX,60,20210226,120000,173.3900000
MOEX,60,20210226,130000,172.8000000
MOEX,60,20210226,140000,172.6100000
MOEX,60,20210226,150000,171.9000000
MOEX,60,20210226,160000,172.9700000
MOEX,60,20210226,170000,173.3000000
MOEX,60,20210226,180000,173.1400000
MOEX,60,20210226,190000,172.9500000
MOEX,60,20210226,200000,172.5000000
MOEX,60,20210226,210000,172.6200000
MOEX,60,20210226,220000,172.8100000
MOEX,60,20210226,230000,172.9100000
MOEX,60,20210227,000000,173.3100000
MOEX,60,20210301,110000,174.9500000
MOEX,60,20210301,120000,175.8200000
MOEX,60,20210301,130000,175.6700000
MOEX,60,20210301,140000,177.8600000
MOEX,60,20210301,150000,177.2600000
MOEX,60,20210301,160000,177.4400000
MOEX,60,20210301,170000,177.5700000
MOEX,60,20210301,180000,177.7200000
MOEX,60,20210301,190000,176.7500000
MOEX,60,20210301,200000,177.4800000
MOEX,60,20210301,210000,177.3900000
MOEX,60,20210301,220000,177.5400000
MOEX,60,20210301,230000,177.5700000
MOEX,60,20210302,000000,177.6500000
MOEX,60,20210302,110000,176.2100000
MOEX,60,20210302,120000,176.0800000
MOEX,60,20210302,130000,176.6900000
MOEX,60,20210302,140000,176.3400000
MOEX,60,20210302,150000,174.8800000
MOEX,60,20210302,160000,175.0200000
MOEX,60,20210302,170000,174.4000000
MOEX,60,20210302,180000,174.4900000
MOEX,60,20210302,190000,173.7500000
MOEX,60,20210302,200000,174.3300000
MOEX,60,20210302,210000,174.7200000
MOEX,60,20210302,220000,174.7500000
MOEX,60,20210302,230000,174.6200000
MOEX,60,20210303,000000,174.3300000
MOEX,60,20210303,110000,174.7000000
MOEX,60,20210303,120000,174.0400000
MOEX,60,20210303,130000,172.7600000
MOEX,60,20210303,140000,172.4600000
MOEX,60,20210303,150000,172.3800000
MOEX,60,20210303,160000,172.5000000
MOEX,60,20210303,170000,171.1500000
MOEX,60,20210303,180000,170.7500000
MOEX,60,20210303,190000,169.7500000
MOEX,60,20210303,200000,170.9000000
MOEX,60,20210303,210000,170.6900000
MOEX,60,20210303,220000,170.9100000
MOEX,60,20210303,230000,170.6600000
MOEX,60,20210304,000000,170.6200000
MOEX,60,20210304,110000,170.5900000
MOEX,60,20210304,120000,170.3600000
MOEX,60,20210304,130000,168.6900000
MOEX,60,20210304,140000,169.2900000
MOEX,60,20210304,150000,170.2200000
MOEX,60,20210304,160000,170.8600000
MOEX,60,20210304,170000,171.2500000
MOEX,60,20210304,180000,171.5600000
MOEX,60,20210304,190000,170.1100000
MOEX,60,20210304,200000,171.2000000
MOEX,60,20210304,210000,170.0900000
MOEX,60,20210304,220000,169.6600000
MOEX,60,20210304,230000,169.8400000
MOEX,60,20210305,000000,169.5600000
MOEX,60,20210305,110000,166.2500000
MOEX,60,20210305,120000,165.6300000
MOEX,60,20210305,130000,166.1100000
MOEX,60,20210305,140000,166.9600000
MOEX,60,20210305,150000,166.8800000
MOEX,60,20210305,160000,167.9000000
MOEX,60,20210305,170000,166.8800000
MOEX,60,20210305,180000,166.5900000
MOEX,60,20210305,190000,166.2000000
MOEX,60,20210305,200000,166.2800000
MOEX,60,20210305,210000,167.0000000
MOEX,60,20210305,220000,167.3100000
MOEX,60,20210305,230000,166.9000000
MOEX,60,20210306,000000,167.4300000
MOEX,60,20210309,110000,169.6400000
MOEX,60,20210309,120000,169.1500000
MOEX,60,20210309,130000,169.4500000
MOEX,60,20210309,140000,168.8200000
MOEX,60,20210309,150000,168.2100000
MOEX,60,20210309,160000,167.6500000
MOEX,60,20210309,170000,168.7300000
MOEX,60,20210309,180000,169.1300000
MOEX,60,20210309,190000,167.4600000
MOEX,60,20210309,200000,168.0700000
MOEX,60,20210309,210000,168.3400000
MOEX,60,20210309,220000,168.7000000
MOEX,60,20210309,230000,168.6000000
MOEX,60,20210310,000000,168.4800000
MOEX,60,20210310,110000,168.5700000
MOEX,60,20210310,120000,169.4400000
MOEX,60,20210310,130000,169.4000000
MOEX,60,20210310,140000,168.7300000
MOEX,60,20210310,150000,168.6700000
MOEX,60,20210310,160000,168.4500000
MOEX,60,20210310,170000,168.4600000
MOEX,60,20210310,180000,168.5500000
MOEX,60,20210310,190000,167.8400000
MOEX,60,20210310,200000,168.3100000
MOEX,60,20210310,210000,169.1000000
MOEX,60,20210310,220000,169.0900000
MOEX,60,20210310,230000,169.1300000
MOEX,60,20210311,000000,169.0300000
MOEX,60,20210311,110000,170.2400000
MOEX,60,20210311,120000,169.3200000
MOEX,60,20210311,130000,168.5000000
MOEX,60,20210311,140000,168.4900000
MOEX,60,20210311,150000,169.2600000
MOEX,60,20210311,160000,169.2600000
MOEX,60,20210311,170000,169.1000000
MOEX,60,20210311,180000,168.6000000
MOEX,60,20210311,190000,168.2500000
MOEX,60,20210311,200000,169.1400000
MOEX,60,20210311,210000,169.1100000
MOEX,60,20210311,220000,169.1300000
MOEX,60,20210311,230000,168.7800000
MOEX,60,20210312,000000,169.0100000
MOEX,60,20210312,110000,169.4300000
MOEX,60,20210312,120000,168.4900000
MOEX,60,20210312,130000,167.8500000
MOEX,60,20210312,140000,166.7800000
MOEX,60,20210312,150000,166.6500000
MOEX,60,20210312,160000,167.1700000
MOEX,60,20210312,170000,167.3400000
MOEX,60,20210312,180000,167.1500000
MOEX,60,20210312,190000,167.0800000
MOEX,60,20210312,200000,167.2500000
MOEX,60,20210312,210000,167.3500000
MOEX,60,20210312,220000,167.7600000
MOEX,60,20210312,230000,167.8500000
MOEX,60,20210313,000000,167.8700000
MOEX,60,20210315,110000,167.7700000
MOEX,60,20210315,120000,168.5400000
MOEX,60,20210315,130000,168.5200000
MOEX,60,20210315,140000,168.3000000
MOEX,60,20210315,150000,168.1400000
MOEX,60,20210315,160000,167.9200000
MOEX,60,20210315,170000,167.9800000
MOEX,60,20210315,180000,167.0500000
MOEX,60,20210315,190000,167.1600000
MOEX,60,20210315,200000,167.8000000
MOEX,60,20210315,210000,167.9000000
MOEX,60,20210315,220000,167.9000000
MOEX,60,20210315,230000,167.8600000
MOEX,60,20210316,000000,167.9000000
MOEX,60,20210316,110000,167.5400000
MOEX,60,20210316,120000,166.4000000
MOEX,60,20210316,130000,166.7000000
MOEX,60,20210316,140000,166.9300000
